experiment_id,feature,count,min,max,mean,std,p01,p05,p50,p95,p99,abs_max
C_n2,spread,925,0.020000000000010232,0.030000000000001137,0.02437837837838463,0.004622806865558023,0.020000000000010232,0.020000000000010232,0.025000000000005684,0.030000000000001137,0.030000000000001137,0.030000000000001137
C_n2,spread_change,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_n2,volume_density,925,604.2061989977436,2880715274.2476225,13988682.239427892,150033925.36602992,605.6975639059657,608.4345374533085,1045.1739379422963,2902.4124320824158,494977200.6371292,2880715274.2476225
C_n2,volume_log,925,0.5203626632518776,7.966140977177798,0.7602423602878423,0.6629781017037749,0.5923671158099131,0.6294448449742265,0.6913735283391711,0.7514461682885927,5.40308740140301,7.966140977177798
C_n2,volume_movement_abs,925,0.0,0.023166109982139062,0.0005979795089331569,0.0008480528897525859,4.4242420566762035e-08,4.066747322420058e-05,0.0005049460084789021,0.001313565103641758,0.001620929530439174,0.023166109982139062
C_n2,volume_movement_signed,925,-0.0013574698457232677,0.023166109982139062,0.00044150914447546255,0.0009390648924681384,-0.0012124028971164816,-0.000695575176931034,0.00045406372463814196,0.0013082396339039136,0.001620929530439174,0.023166109982139062
C_n3,directional_volume,925,-1.9913438003912423,1.3086780833639244,0.3954840613383025,0.5657558348159365,-0.7462521604794868,-0.7186283503557306,0.6780394809656017,0.7441963032096547,0.7669362182805226,1.9913438003912423
C_n3,price_acceleration,925,-0.017702189772043568,0.017271003474800904,2.993345869617789e-05,0.0011859893634557541,-0.0018422853289330717,-0.0009693019155860603,-3.7033678869298784e-06,0.0009937927788780838,0.0025110580609013344,0.017702189772043568
C_n3,price_displacement,925,-0.0018929868457058226,0.017701916366316118,0.0006212177304033663,0.0009925321711073724,-0.0017267014625702885,-0.0009780550067176586,0.0006571642477875045,0.0018453866685541381,0.0023407134685065442,0.017701916366316118
C_n3,price_velocity,925,-0.0018929868457058226,0.017701916366316118,0.0006219637784929136,0.0010117368343302534,-0.0017267014625702885,-0.0009780550067176586,0.0006362887872127049,0.0019437264720234165,0.002538764269599986,0.017701916366316118
C_n3,relative_volume,925,0.6826377699434831,2880.7152742476223,14.97793536582941,149.94183756507707,0.8082690894058123,0.8765685036093297,0.9964558395415996,1.1200638085041439,496.4939625497336,2880.7152742476223
C_n3,spread,925,0.020000000000010232,0.030000000000001137,0.02437837837838463,0.004622806865558023,0.020000000000010232,0.020000000000010232,0.025000000000005684,0.030000000000001137,0.030000000000001137,0.030000000000001137
C_n3,spread_change,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_n3,volume_density,925,604.2061989977436,2880715274.2476225,13988682.239427892,150033925.36602992,605.6975639059657,608.4345374533085,1045.1739379422963,2902.4124320824158,494977200.6371292,2880715274.2476225
C_n3,volume_log,925,0.5203626632518776,7.966140977177798,0.7602423602878423,0.6629781017037749,0.5923671158099131,0.6294448449742265,0.6913735283391711,0.7514461682885927,5.40308740140301,7.966140977177798
C_n3,volume_movement_abs,925,0.0,0.023166109982139062,0.0005979795089331569,0.0008480528897525859,4.4242420566762035e-08,4.066747322420058e-05,0.0005049460084789021,0.001313565103641758,0.001620929530439174,0.023166109982139062
C_n3,volume_movement_signed,925,-0.0013574698457232677,0.023166109982139062,0.00044150914447546255,0.0009390648924681384,-0.0012124028971164816,-0.000695575176931034,0.00045406372463814196,0.0013082396339039136,0.001620929530439174,0.023166109982139062
D_n1,directional_volume,925,-1.9913438003912423,1.3086780833639244,0.3954840613383025,0.5657558348159365,-0.7462521604794868,-0.7186283503557306,0.6780394809656017,0.7441963032096547,0.7669362182805226,1.9913438003912423
D_n1,price_acceleration,925,-0.017702189772043568,0.017271003474800904,2.993345869617789e-05,0.0011859893634557541,-0.0018422853289330717,-0.0009693019155860603,-3.7033678869298784e-06,0.0009937927788780838,0.0025110580609013344,0.017702189772043568
D_n1,price_displacement,925,-0.0018929868457058226,0.017701916366316118,0.0006212177304033663,0.0009925321711073724,-0.0017267014625702885,-0.0009780550067176586,0.0006571642477875045,0.0018453866685541381,0.0023407134685065442,0.017701916366316118
D_n1,price_velocity,925,-0.0018929868457058226,0.017701916366316118,0.0006219637784929136,0.0010117368343302534,-0.0017267014625702885,-0.0009780550067176586,0.0006362887872127049,0.0019437264720234165,0.002538764269599986,0.017701916366316118
D_n1,relative_volume,925,0.6826377699434831,2880.7152742476223,14.97793536582941,149.94183756507707,0.8082690894058123,0.8765685036093297,0.9964558395415996,1.1200638085041439,496.4939625497336,2880.7152742476223
D_n1,spread,925,0.020000000000010232,0.030000000000001137,0.02437837837838463,0.004622806865558023,0.020000000000010232,0.020000000000010232,0.025000000000005684,0.030000000000001137,0.030000000000001137,0.030000000000001137
D_n1,spread_change,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D_n1,volume_density,925,604.2061989977436,2880715274.2476225,13988682.239427892,150033925.36602992,605.6975639059657,608.4345374533085,1045.1739379422963,2902.4124320824158,494977200.6371292,2880715274.2476225
D_n1,volume_log,925,0.5203626632518776,7.966140977177798,0.7602423602878423,0.6629781017037749,0.5923671158099131,0.6294448449742265,0.6913735283391711,0.7514461682885927,5.40308740140301,7.966140977177798
D_n1,volume_movement_abs,925,0.0,0.023166109982139062,0.0005979795089331569,0.0008480528897525859,4.4242420566762035e-08,4.066747322420058e-05,0.0005049460084789021,0.001313565103641758,0.001620929530439174,0.023166109982139062
D_n1,volume_movement_signed,925,-0.0013574698457232677,0.023166109982139062,0.00044150914447546255,0.0009390648924681384,-0.0012124028971164816,-0.000695575176931034,0.00045406372463814196,0.0013082396339039136,0.001620929530439174,0.023166109982139062
D_n2,directional_volume,925,-1.9913438003912423,1.3086780833639244,0.3954840613383025,0.5657558348159365,-0.7462521604794868,-0.7186283503557306,0.6780394809656017,0.7441963032096547,0.7669362182805226,1.9913438003912423
D_n2,price_acceleration,925,-0.017702189772043568,0.017271003474800904,2.993345869617789e-05,0.0011859893634557541,-0.0018422853289330717,-0.0009693019155860603,-3.7033678869298784e-06,0.0009937927788780838,0.0025110580609013344,0.017702189772043568
D_n2,price_displacement,925,-0.0018929868457058226,0.017701916366316118,0.0006212177304033663,0.0009925321711073724,-0.0017267014625702885,-0.0009780550067176586,0.0006571642477875045,0.0018453866685541381,0.0023407134685065442,0.017701916366316118
D_n2,price_velocity,925,-0.0018929868457058226,0.017701916366316118,0.0006219637784929136,0.0010117368343302534,-0.0017267014625702885,-0.0009780550067176586,0.0006362887872127049,0.0019437264720234165,0.002538764269599986,0.017701916366316118
D_n2,relative_volume,925,0.6826377699434831,2880.7152742476223,14.97793536582941,149.94183756507707,0.8082690894058123,0.8765685036093297,0.9964558395415996,1.1200638085041439,496.4939625497336,2880.7152742476223
D_n2,spread,925,0.020000000000010232,0.030000000000001137,0.02437837837838463,0.004622806865558023,0.020000000000010232,0.020000000000010232,0.025000000000005684,0.030000000000001137,0.030000000000001137,0.030000000000001137
D_n2,spread_change,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D_n2,volume_density,925,604.2061989977436,2880715274.2476225,13988682.239427892,150033925.36602992,605.6975639059657,608.4345374533085,1045.1739379422963,2902.4124320824158,494977200.6371292,2880715274.2476225
D_n2,volume_log,925,0.5203626632518776,7.966140977177798,0.7602423602878423,0.6629781017037749,0.5923671158099131,0.6294448449742265,0.6913735283391711,0.7514461682885927,5.40308740140301,7.966140977177798
D_n2,volume_movement_abs,925,0.0,0.023166109982139062,0.0005979795089331569,0.0008480528897525859,4.4242420566762035e-08,4.066747322420058e-05,0.0005049460084789021,0.001313565103641758,0.001620929530439174,0.023166109982139062
D_n2,volume_movement_signed,925,-0.0013574698457232677,0.023166109982139062,0.00044150914447546255,0.0009390648924681384,-0.0012124028971164816,-0.000695575176931034,0.00045406372463814196,0.0013082396339039136,0.001620929530439174,0.023166109982139062
D_n3,directional_volume,925,-1.9913438003912423,1.3086780833639244,0.3954840613383025,0.5657558348159365,-0.7462521604794868,-0.7186283503557306,0.6780394809656017,0.7441963032096547,0.7669362182805226,1.9913438003912423
D_n3,price_acceleration,925,-0.017702189772043568,0.017271003474800904,2.993345869617789e-05,0.0011859893634557541,-0.0018422853289330717,-0.0009693019155860603,-3.7033678869298784e-06,0.0009937927788780838,0.0025110580609013344,0.017702189772043568
D_n3,price_displacement,925,-0.0018929868457058226,0.017701916366316118,0.0006212177304033663,0.0009925321711073724,-0.0017267014625702885,-0.0009780550067176586,0.0006571642477875045,0.0018453866685541381,0.0023407134685065442,0.017701916366316118
D_n3,price_velocity,925,-0.0018929868457058226,0.017701916366316118,0.0006219637784929136,0.0010117368343302534,-0.0017267014625702885,-0.0009780550067176586,0.0006362887872127049,0.0019437264720234165,0.002538764269599986,0.017701916366316118
D_n3,relative_volume,925,0.6826377699434831,2880.7152742476223,14.97793536582941,149.94183756507707,0.8082690894058123,0.8765685036093297,0.9964558395415996,1.1200638085041439,496.4939625497336,2880.7152742476223
D_n3,spread,925,0.020000000000010232,0.030000000000001137,0.02437837837838463,0.004622806865558023,0.020000000000010232,0.020000000000010232,0.025000000000005684,0.030000000000001137,0.030000000000001137,0.030000000000001137
D_n3,spread_change,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D_n3,volume_density,925,604.2061989977436,2880715274.2476225,13988682.239427892,150033925.36602992,605.6975639059657,608.4345374533085,1045.1739379422963,2902.4124320824158,494977200.6371292,2880715274.2476225
D_n3,volume_log,925,0.5203626632518776,7.966140977177798,0.7602423602878423,0.6629781017037749,0.5923671158099131,0.6294448449742265,0.6913735283391711,0.7514461682885927,5.40308740140301,7.966140977177798
D_n3,volume_movement_abs,925,0.0,0.023166109982139062,0.0005979795089331569,0.0008480528897525859,4.4242420566762035e-08,4.066747322420058e-05,0.0005049460084789021,0.001313565103641758,0.001620929530439174,0.023166109982139062
D_n3,volume_movement_signed,925,-0.0013574698457232677,0.023166109982139062,0.00044150914447546255,0.0009390648924681384,-0.0012124028971164816,-0.000695575176931034,0.00045406372463814196,0.0013082396339039136,0.001620929530439174,0.023166109982139062
E_n1,directional_volume,925,-1.9913438003912423,1.3086780833639244,0.3954840613383025,0.5657558348159365,-0.7462521604794868,-0.7186283503557306,0.6780394809656017,0.7441963032096547,0.7669362182805226,1.9913438003912423
